qp,n,ratio_mean,ratio_std,ratio_ci95,ratio_q05,ratio_q50,ratio_q95,p_smaller,kbps_mean,kbps_std,avg_qp_mean,psnr_all_mean,psnr_Y_mean,psnr_U_mean,psnr_V_mean,encode_wall_mean,shapiro_p
0.0,10,1.0135231526692707,0.006560073216853798,0.004692793679349558,1.0085609436035157,1.0100189208984376,1.0231468709309894,0.0,19879.576,128.9762875019196,11.55,47.02602,47.10064,46.87293,46.888709999999996,0.41562,0.0005990512867875328
10.0,10,0.7610831705729166,0.0008834692684312846,0.0006319958423851704,0.7598852539062501,0.7612157185872396,0.7621221415201823,1.0,14916.384,17.36971259277366,20.199999999999996,39.741460000000004,39.85538,39.52132,39.52317,0.47651000000000004,0.40759128639014397
18.0,10,0.5637981160481771,0.0007817252870913616,0.000559212582692706,0.562696533203125,0.5641092936197916,0.5646103922526042,1.0,11037.602,15.369344524445863,28.2,31.96246,32.06723999999999,31.756490000000003,31.76391,0.47359999999999997,0.16652743267703368
28.0,10,0.3475854492187499,0.001063566038078247,0.000760829310295133,0.3463744608561197,0.34722696940104164,0.3489472961425781,1.0,6786.688,20.91055916144873,38.2,23.028190000000002,22.22004,25.31197,25.31326,0.46956,0.13636992463878417
40.0,10,0.03295888264973956,0.0011678800708304108,0.0008354510740140433,0.03181198120117186,0.03249867757161455,0.03503021240234375,1.0,600.8779999999999,22.961456496582358,48.672,11.03961,10.99196,11.1326,11.140889999999999,0.15115,0.03395846147939753
51.0,10,0.011134033203124968,4.2761731041735975e-05,3.058989961196597e-05,0.01108342488606769,0.01112060546874995,0.011195322672526006,1.0,171.784,0.8407298416653599,51.0,9.695559999999999,10.02782,9.10291,9.09478,0.09690999999999998,0.38486483765875235
