config,n,mean,std,min,max,ci95
128x128 f10 IPB,20,11.171703914330084,0.057029840359214566,11.064878624200652,11.293224448130662,0.02669078688394058
256x256 f1 all-I,20,15.51251127509769,0.01989758020452968,15.464829586656997,15.541365907828984,0.009312354188615701
256x256 f10 IP,30,11.859486336589901,0.04853657079794041,11.751405250873534,11.984040679419829,0.018123853393144936
256x256 f10 IPB,30,10.933937686471616,0.03686665648770177,10.86961617345444,11.020857046667846,0.013766235774260659
256x256 f10 all-I,30,15.509577913416328,0.01343611876570362,15.469534050179211,15.528251966220873,0.0050171292013243985
256x256 f30 IPB,10,10.512205563441963,0.017691572090686388,10.477463708826694,10.534675001055875,0.01265578827255038
640x360 f10 IPB,10,10.875144190647646,0.014685752542586201,10.849371618083433,10.900485879929423,0.010505554500715285
64x64 f10 IPB,20,12.169355366333665,0.12452456667805935,11.960254968128982,12.414361702127655,0.05827929115852965
