qp,n,ratio_mean,ratio_std,ratio_ci95,ratio_q05,ratio_q50,ratio_q95,p_smaller,kbps_mean,kbps_std,avg_qp_mean,psnr_all_mean,psnr_Y_mean,psnr_U_mean,psnr_V_mean,encode_wall_mean,shapiro_p,fmt
0,15,1.4867927042643232,0.0005589523648940899,0.0003095375022923777,1.4860696411132814,1.4867446899414063,1.4875962829589844,0.0,19442.049333333336,7.3263004371399685,0.0,56.69230666666667,56.69230666666667,,,0.3424866666666667,0.1899025757062462,gray (i400)
4,15,1.2621798706054688,0.000344645636958174,0.00019085839212830343,1.2616409301757812,1.2622467041015626,1.2625932312011718,0.0,16497.484000000004,4.517339292738236,4.9,52.979099999999995,52.979099999999995,,,0.3538733333333333,0.6244976744987866,gray (i400)
8,15,1.0976583862304687,0.0004928999845299762,0.00027295891327030976,1.0969363403320311,1.0975357055664063,1.098415069580078,0.0,14341.068000000001,6.46053867723134,8.900000000000002,49.923973333333336,49.923973333333336,,,0.37795333333333336,0.589790573329577,gray (i400)
10,15,1.0326273600260418,0.000566127709393926,0.0003135110756307559,1.0318783569335936,1.0325546264648438,1.03337646484375,0.0,13488.673333333336,7.420349112567441,10.900000000000002,48.36339333333333,48.36339333333333,,,0.36930666666666667,0.7838592217694687,gray (i400)
12,15,0.9703374226888021,0.0006567027129112114,0.00036366984070580153,0.969380645751953,0.9704360961914062,0.9710997009277343,1.0,12672.226666666667,8.607533798669643,12.900000000000002,46.60908666666668,46.60908666666668,,,0.38324,0.3321981147960975,gray (i400)
14,15,0.9178064982096356,0.00034924234780103134,0.0001934039657449889,0.9172950744628906,0.9179473876953124,0.9182337951660157,1.0,11983.693333333335,4.577589301097649,14.900000000000002,44.83193333333333,44.83193333333333,,,0.3827133333333333,0.13811413607635037,gray (i400)
16,15,0.8649729410807292,0.0006465104775172958,0.0003580255688773669,0.8642391967773438,0.864886474609375,0.8660725402832031,1.0,11291.193333333335,8.473942130915052,16.900000000000002,43.01987999999999,43.01987999999999,,,0.38204,0.478573351227892,gray (i400)
18,15,0.8110216267903646,0.0004142215702543198,0.00022938825972485742,0.8104045104980468,0.8110763549804687,0.8116447448730469,1.0,10584.042666666668,5.4292849656372955,18.9,41.06341333333333,41.06341333333333,,,0.38575333333333334,0.8852293714963821,gray (i400)
20,15,0.7587269083658854,0.0005367065339189834,0.00029721817172159167,0.7577432250976562,0.7588653564453125,0.7593331909179687,1.0,9898.605333333333,7.034719881383046,20.899999999999995,39.175473333333336,39.175473333333336,,,0.3919066666666666,0.5001933045674575,gray (i400)
24,15,0.6578229777018229,0.0003566543441467289,0.00019750859250738245,0.657315673828125,0.65787353515625,0.6583346557617188,1.0,8576.037333333332,4.67473981959986,24.89999999999999,35.26044,35.26044,,,0.3855333333333333,0.45094709496925517,gray (i400)
28,15,0.5587269083658855,0.001827720282407538,0.001012157755541022,0.5566755676269531,0.5598129272460938,0.5607785034179688,1.0,7277.1653333333325,23.956295285572086,28.899999999999988,31.378939999999997,31.378939999999997,,,0.3919333333333333,0.0016199841167946784,gray (i400)
32,15,0.4596775309244791,0.0002768165113727004,0.00015329587439858282,0.45929901123046873,0.4597076416015625,0.4600732421874999,1.0,5978.905333333333,3.628289377864331,32.89999999999999,27.38254,27.38254,,,0.39918666666666663,0.5752116543747587,gray (i400)
36,15,0.36305196126302086,0.00034857160151220435,0.00019303251883116338,0.3627235412597656,0.362994384765625,0.3637940979003906,1.0,4712.4146666666675,4.568797695340966,36.89999999999999,23.46923333333333,23.46923333333333,,,0.39067999999999997,0.007261144077894256,gray (i400)
40,15,0.2618620808919271,0.00040693524534791286,0.00022535322748584494,0.26126876831054685,0.2619049072265625,0.26260665893554686,1.0,3386.0986666666668,5.333781647824247,40.89999999999999,19.644093333333334,19.644093333333334,,,0.37908666666666674,0.3679223913188798,gray (i400)
44,15,0.1518122355143229,0.0009338529688273481,0.0005171505366721374,0.1506489562988281,0.1521987915039062,0.15326828002929688,1.0,1943.6533333333334,12.240197633013858,44.89999999999999,15.567866666666669,15.567866666666669,,,0.35004666666666673,0.07421259119285263,gray (i400)
48,15,0.05515991210937497,0.001348717500697748,0.0007468948566719146,0.05320831298828125,0.0550308227539062,0.0570394897460937,1.0,676.812,17.677910025145593,48.89999999999999,11.9493,11.9493,,,0.20761999999999997,0.995331306974328,gray (i400)
